Food_Categories,Normalized_Category
Sugary snacks, 'Sweet'
fr:Boulange,Other
Meals,Other
Chips and fries,Dry_Goods
Dairies,Dairy
Plant-based foods and beverages,Vegetable
Groceries,Vegetable
Pates-a-tartiner-aux-noisettes-et-au-cacao,Other
Spreads,Other
Beverages,Beverage
Fruit juices,Fruit
Meats,Meat
Salty snacks,Dry_Goods
Dietary supplements,Dry_Goods
Cake-mix,Dry_Goods
Mashed-potatoes,Vegetable
Granola-mix,Dry_Goods
Mix,Other
Coconut-creams,Coconut
Coconut-waters,Coconut
Seafood,Seafood
Beef-jerky,Meat
Banana-nut-loaf,Dry_Goods
Breakfasts,Other
Desserts,Other
Balsamic-vinaigrette-dressing,Other
Macaroni,Grain
Penne,Grain
Peanut-butter-bliss,Vegetable
Beef-broth,Meat
Farming products,Dairy
Soymilk,Dairy
Genoa-salami,Meat
Cottage-cheese,Dairy
Popping-corn,Dry_Goods
Goat-milk-cheese,Dairy
Salsa,Other
Garlic-mashed-potatoes,Vegetable
Chocolate-with-raspberries,Dry_Goods
Tartar-sauce,Other
Whole-wheat-tortillas,Dry_Goods
Sweeteners,Sweet
Frozen foods,Other
Canned-precooked-meat,Meat
Precooked-meat,Meat
Potato-crips,Other
Baked-beans,Vegetable
Senate-bean-soup,Vegetable
Freeze-dried foods,Dry_Goods
Pierogies,Meat
Black-truffle-oil,Oil
Coconut-cream,Coconut
Ramen,Dry_Goods
Turkey-bacon,Meat
Stuffing,Other
Snacks,Dry_Goods
fr:Produits-sous-licence,Other
Hot-cocoa-mix,Other
Aliments-d-origine-vegetale,Other
Canned foods,Other
fr:Tartinade-amandes-et-chocolat-noir,Other
Cinnamon-raisin-bagels,Dry_Goods
Pancakes-and-waffles,Other
Hot-cocoa-powder,Other
fr:Confit-de-dinde,Other
Pies,Sweet
fr:Breuvage,Beverage
Cheddar-baguettes,Dry_Goods
White-quinoa,Grain
fr:Croustilles-chips,Dry_Goods
fr:Biscuits-aux-brisures-de-chocolat,Other
Marinara-sauce,Other
Breaded products,Dry_Goods
fr:Kraft,Dairy
fr:Melange-a-soupe,Other
fr:Mayonnaise-a-l-huile-d-olive,Other
fr:Miche-de-pain-fait-d-huile-d-olive,Other
Feta-cheese,Dairy
Matzos,Other
es:Sopas-instantaneas,Other
Anchovy-paste,Seafood
Cream-horseradish,Other
Horseradish-sauce,Other
Hot-dog-mustard,Other
Blue-cheese-yogurt-dressing,Other
Bruschetta,Dry_Goods
Cactus,Vegetable
Fat-free-milk,Dairy
Hot-fudge,Other
Prosciutto,Meat
fr:Tartinade-de-fromage-fondu,Other
Capers,Vegetable
Pickles,Vegetable
Hawaiian-sweet-rolls,Dry_Goods
fr:Pain-grains-germes-entiers,Grain
Flour-tortillas,Grain
Mozzarella-sticks,Dairy
Corn-tortilla-chips,Dry_Goods
Cherry-pie-filling,Sweet
Coffee-creamer,Sweet
Salsa-chips,Dry_Goods
Goat-milk-butter,Dairy
Juices,Beverage
Palm-sugar,Sweet
Nonpareil-capers,Vegetable
Cashews,Dry_Goods
Juice-drinks,Beverage
Snack,Dry_Goods
Waffles,Dry_Goods
Whipping-cream,Dairy
fr:Quartiers-de-pamplemousse-rouge-prepare-dans-de-l-eau-legerement-sucree,Other
Diced-tomatoes,Vegetable
Fruit-and-nut-mix,Dry_Goods
Milk-chocolate-filled-with-caramel,Dairy
Green olives,Vegetable
Chocolate-mints,Other
Dry-seasoning-mix,Spice
Marshmallow-creme,Other
de:Blutenwasser,Other
de:Rosenwasser,Other
fr:Super-fruit,Fruit
fr:Viande-de-porc-preparee,Other
fr:Burgers-de-boeuf,Other
Tortillas,Dry_Goods
fr:Marmelade-aux-figues,Other
Pain-pita-sucres,Other
fr:Preparation-cremeuse-de-soya-pour-cuisiner,Other
fr:Pizza-toute-garnie-avec-croute-a-l-huile-d-olive,Other
fr:Le-chenevis-designe-la-graine-de-chanvre,Other
Seed-style-mustard,Oil
Vinegars,Oil
Sunflower-spread,Oil
Chocolat,Sweet
fr:Cretons,Grain
fr:Galette-de-boeuf,Other
Tortilla-chips,Dry_Goods
Indian-food,Spice
Curries,Spice
Kale-salads,Vegetable
fr:Beignes,Other
Goat-milk,Dairy
fr:Tartinade,Other
fr:Jus-de-pommes-et-fraises,Other
Indian,Spice
Breakfast-granola,Dry_Goods
Almond-milk-yogurt,Dairy
Chips,Dry_Goods
Cheese-analogues,Dairy
fr:Sans-produit-laitier,Other
fr:Simili-yogourt,Dairy
Chocolats,Other
Hidden-valley,Other
Pecans,Dry_Goods
fr:Oleagineux,Other
fr:Barre-nutritive,Other
fr:Saucisson-aux-noix,Other
Fresh foods,Vegetable
Olives,Vegetable
fr:Beurre-de-noix-avec-noix-de-cajou,Other
es:Atun,Other
es:Pan-dulce,Other
es:Crema-de-cacahuate,Sweet
es:Dulce-de-leche,Sweet
pt:Biscoito-salgado,Sweet
fr:Biscoito,Sweet
fr:Sirop-d-erable-en-flocons,Other
fr:Turrones,Other
nl:Broodbeleggen,Other
fr:Pois-verts-au-wasabi,Other
fr:Vermicelle,Other
Spring-roll-pastry,Other
