,categories_en
0,
1,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Culinary plants,Aromatic plants,Spices,Aromatic herbs,Basil"
2,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed oat cakes"
3,"Gratins-de-legumes,Moussaka"
4,"Meats,Spreads,Prepared meats,Salted spreads,Seafood,Rillettes,fr:Rillettes de crustacés,fr:Rillettes de crabe"
5,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Spreads,Breakfasts,Vegetables based foods,Plant-based spreads,Sweet spreads,Fruit preserves,Jams,Vegetable jams,Light jams,Rhubarb jams"
6,"Meats,Poultries,Breaded products,Turkeys,Turkey cutlets,fr:Escalopes-de-dinde-panees"
7,"Plant-based foods and beverages,Plant-based foods,Frozen foods,Frozen plant-based foods,Meals,Frozen plant-based foods mixes,fr:Céréales préparées,Fried rice,Frozen Rice with vegetables,fr:Riz préparés"
8,"Seafood,Fishes,Frozen foods,Salmons,Frozen fishes,fr:Poissons-sauvages,fr:Saumons-sauvages"
9,fr:Preparation-instantanee-pour-boisson-au-cafe-saveur-noisette
10,fr:Barre-de-cereale-chocolatee
11,"Beverages,Alcoholic beverages,Wines,French wines,Red wines,Bordeaux,Medoc wines,fr:Listrac-Médoc"
12,de:Putenmedaillons
13,"Sugary snacks,Biscuits and cakes,Pryaniki,Gingerbreads,ru:Изделия-кондитерские,ru:Изделия-пряничные,ru:Пряники-днепровские"
14,fr:Sauce-a-l-ail
15,fr:Sang-de-porc
16,"Baked-beans-with-pork-sausages-in-tomato-sauce,Beans-with-pork-sausages"
17,"Sugary snacks,Biscuits and cakes,Biscuits,Cookies,Oatmeal cookies,ru:Печенье-овсяное-сдобное"
18,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Sugary snacks,Fruits based foods,Fruits,Berries,Cranberries"
19,"Plant-based foods and beverages,Beverages,Plant-based beverages,Artificially sweetened beverages,Fruit-based beverages,Non-sugared beverages"
20,"Seafood,Fishes,Frozen foods,Fish fillets,Pollock fillets,Pollocks"
21,"Beverages,Dairies,Dairy drinks,Baby foods,Baby milks,Flavoured milks,From 10 months,Sugared beverages,Vanilla milks,fr:Laits de croissance"
